language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.01,0.010265,0.009860445689450213,0.02649999999999996,1,100,2000
eng,English,0.02,0.016880000000000003,0.01281981957310412,-0.3119999999999998,1,100,2000
rus,Russian,0.01,0.001085,0.005,-0.8915,1,100,2000
deu,German,0.0,0.001045,0.005,0.1045,1,100,2000
dan,Danish,0.0,0.002895,0.005223276395917995,0.2895,1,100,2000
nob,Norwegian Bokmal,0.0,0.004090000000000001,0.006106598502655657,0.4090000000000001,1,100,2000
isl,Icelandic,0.0,0.0020700000000000002,0.005,0.20700000000000002,1,100,2000
