language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.935,0.9391200000000001,0.013183797110587136,0.41200000000000125,1,100,2000
eng,English,0.975,0.963665,0.010969409235208834,-1.1334999999999984,1,100,2000
eng_metric,English metric,0.965,0.958155,0.011774561356907262,-0.684499999999999,1,100,2000
rus,Russian,0.94,0.902065,0.015391693445282658,-3.793499999999994,1,100,2000
deu,German,0.915,0.8947050000000001,0.014861810512378809,-2.029499999999995,1,100,2000
dan,Danish,0.935,0.9182175000000001,0.013399625693815745,-1.6782499999999922,1,100,2000
nob,Norwegian Bokmal,0.955,0.9208525000000001,0.014442646529268256,-3.4147499999999886,1,100,2000
isl,Icelandic,0.855,0.8112974999999999,0.022721952762002173,-4.370250000000009,1,100,2000
