language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.885,0.8710474999999999,0.016009165826026763,-1.3952500000000145,1,100,2000
eng,English,0.92,0.9361499999999999,0.01106633326201286,1.6149999999999887,1,100,2000
eng_metric,English metric,0.945,0.93274,0.012403399621115162,-1.2259999999999938,1,100,2000
rus,Russian,0.89,0.8572774999999999,0.017273525438964266,-3.27225000000001,1,100,2000
deu,German,0.87,0.8569649999999999,0.015878124335582226,-1.303500000000013,1,100,2000
dan,Danish,0.9,0.8747925,0.016853381321888822,-2.520750000000005,1,100,2000
nob,Norwegian Bokmal,0.885,0.8785075,0.01645890006791837,-0.6492500000000012,1,100,2000
isl,Icelandic,0.665,0.594835,0.02542333471388022,-7.016500000000003,1,100,2000
