language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.94,0.93982,0.01371720382732645,-0.017999999999995797,1,100,2000
eng,English,0.96,0.963625,0.011902949848989283,0.36249999999999893,1,100,2000
rus,Russian,0.94,0.8965250000000001,0.016667731748525975,-4.347499999999982,1,100,2000
deu,German,0.9,0.8970300000000002,0.01674871217974207,-0.2969999999999806,1,100,2000
dan,Danish,0.95,0.9176,0.014461831567479372,-3.2399999999999984,1,100,2000
nob,Norwegian Bokmal,0.93,0.918725,0.013839079993537631,-1.1275000000000035,1,100,2000
isl,Icelandic,0.87,0.8131,0.025665528626541843,-5.689999999999995,1,100,2000
