language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.7,0.621995,0.033814814739222286,-7.8004999999999995,1,100,2000
eng,English,0.83,0.7742,0.028942681966599264,-5.5799999999999965,1,100,2000
rus,Russian,0.69,0.513405,0.03670326333951636,-17.659499999999994,1,100,2000
deu,German,0.63,0.56984,0.036891121932501846,-6.015999999999999,1,100,2000
dan,Danish,0.51,0.48261000000000004,0.03317134409448188,-2.738999999999997,1,100,2000
nob,Norwegian Bokmal,0.55,0.484725,0.03554372030368393,-6.5275000000000025,1,100,2000
isl,Icelandic,0.15,0.149945,0.022250719589737556,-0.005499999999999949,1,100,2000
