language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.88,0.85045,0.022161747935029136,-2.9549999999999965,1,100,2000
eng,English,0.91,0.9001900000000002,0.016935386138255785,-0.9809999999999874,1,100,2000
rus,Russian,0.81,0.76582,0.029117890132406267,-4.418000000000011,1,100,2000
deu,German,0.82,0.7925150000000001,0.023617867745383343,-2.748499999999987,1,100,2000
dan,Danish,0.78,0.7801600000000001,0.026989602059120012,0.0160000000000049,1,100,2000
nob,Norwegian Bokmal,0.76,0.802415,0.027018193247942964,4.2414999999999985,1,100,2000
isl,Icelandic,0.43,0.3998,0.035551258008303825,-3.0200000000000005,1,100,2000
