language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.21,0.19244,0.030114777932519484,-1.7559999999999993,1,100,2000
eng,English,0.59,0.5569500000000001,0.03221049919093251,-3.3049999999999913,1,100,2000
eng_metric,English metric,0.55,0.536595,0.03309386010710135,-1.3405,1,100,2000
rus,Russian,0.35,0.26368,0.03386489355524027,-8.631999999999994,1,100,2000
deu,German,0.34,0.2635,0.035077987864418736,-7.650000000000001,1,100,2000
dan,Danish,0.32,0.277565,0.034020574285825465,-4.2435,1,100,2000
nob,Norwegian Bokmal,0.31,0.26328999999999997,0.033971354498507,-4.671000000000003,1,100,2000
isl,Icelandic,0.04,0.027815000000000003,0.015748008600691192,-1.2184999999999997,1,100,2000
