language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.96,0.909255,0.02075356186694425,-5.074499999999993,1,100,2000
eng,English,0.95,0.96147,0.014695137751541102,1.1470000000000091,1,100,2000
rus,Russian,0.94,0.8906750000000001,0.01920882256756558,-4.932499999999984,1,100,2000
deu,German,0.92,0.89149,0.01825504103697473,-2.8510000000000035,1,100,2000
dan,Danish,0.93,0.9215099999999999,0.01744626281021299,-0.8490000000000109,1,100,2000
nob,Norwegian Bokmal,0.93,0.9203699999999999,0.017167132993823206,-0.9630000000000138,1,100,2000
isl,Icelandic,0.86,0.7953250000000001,0.02583075664773482,-6.467499999999992,1,100,2000
