language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.96,0.9467449999999998,0.016247675787146955,-1.3255000000000128,1,100,2000
deu,German,0.9,0.86612,0.020487934931048325,-3.388000000000002,1,100,2000
dan,Danish,0.89,0.9045700000000002,0.01701939863699604,1.4570000000000194,1,100,2000
nob,Norwegian Bokmal,0.89,0.8971750000000001,0.01990144237748492,0.7175000000000042,1,100,2000
isl,Icelandic,0.87,0.7846450000000001,0.02955182955952402,-8.535499999999985,1,100,2000
