language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.73,0.68569,0.034818530483530105,-4.430999999999996,1,100,2000
eng,English,0.9,0.871395,0.023267459301160632,-2.860499999999999,1,100,2000
eng_metric,English metric,0.92,0.8750950000000001,0.023665819455604184,-4.490499999999997,1,100,2000
rus,Russian,0.75,0.71478,0.033062034859859084,-3.522000000000003,1,100,2000
deu,German,0.81,0.75605,0.030248222716198477,-5.395000000000005,1,100,2000
dan,Danish,0.77,0.7612949999999999,0.02630054817712379,-0.8705000000000074,1,100,2000
nob,Norwegian Bokmal,0.83,0.7745500000000001,0.02790675354545426,-5.544999999999989,1,100,2000
isl,Icelandic,0.53,0.551555,0.0357864822405832,2.155499999999999,1,100,2000
