split,language,subset_size,repeat,n_items_full,n_models,pearson_r,p_value
original,dan,10,0,100,30,0.9741328846503207,1.2555429543246802e-19
original,dan,10,1,100,30,0.9633074467741883,1.5686628116535568e-17
original,dan,10,2,100,30,0.9300198121442864,1.074667951919587e-13
original,dan,10,3,100,30,0.9766594437397605,3.024448787475281e-20
original,dan,10,4,100,30,0.9441040968953157,5.047875675303714e-15
original,dan,10,5,100,30,0.9589268637751229,7.404670450369914e-17
original,dan,10,6,100,30,0.9681463136938501,2.2316137779119553e-18
original,dan,10,7,100,30,0.9408129042754902,1.101718140041865e-14
original,dan,10,8,100,30,0.9699550784664408,9.954279462425185e-19
original,dan,10,9,100,30,0.9892379453330546,6.41230705371692e-25
original,dan,10,10,100,30,0.9711775356832205,5.606780209948439e-19
original,dan,10,11,100,30,0.9412308125333549,1.000272035342053e-14
original,dan,10,12,100,30,0.9365279261669213,2.8539514644200214e-14
original,dan,10,13,100,30,0.9679320400292445,2.447988014385417e-18
original,dan,10,14,100,30,0.9655972153917688,6.454726748747879e-18
original,dan,10,15,100,30,0.9735201826574795,1.7359460096143477e-19
original,dan,10,16,100,30,0.9601651397211995,4.8607529016163504e-17
original,dan,10,17,100,30,0.9676476746848355,2.765206832015967e-18
original,dan,10,18,100,30,0.9709493023837719,6.252602304402631e-19
original,dan,10,19,100,30,0.9434597336803021,5.902799525509283e-15
original,dan,10,20,100,30,0.9505016922617168,9.578785423226473e-16
original,dan,10,21,100,30,0.9505315806778317,9.499888245103518e-16
original,dan,10,22,100,30,0.9816417931773188,1.0813393612766385e-21
original,dan,10,23,100,30,0.9385783905294873,1.8253275825661227e-14
original,dan,10,24,100,30,0.9496154024353772,1.221312972107078e-15
original,dan,10,25,100,30,0.9494508216121589,1.277061408375593e-15
original,dan,10,26,100,30,0.9702730364174127,8.593526633326351e-19
original,dan,10,27,100,30,0.9672366075378792,3.291515324868515e-18
original,dan,10,28,100,30,0.9483625824430815,1.7091663203676465e-15
original,dan,10,29,100,30,0.9666193760684543,4.25817770506372e-18
original,dan,10,30,100,30,0.9456149763899923,3.471996834691426e-15
original,dan,10,31,100,30,0.9674619890306579,2.992459584557299e-18
original,dan,10,32,100,30,0.9617492678672872,2.7811264551805585e-17
original,dan,10,33,100,30,0.9586665420167717,8.076466851078596e-17
original,dan,10,34,100,30,0.9821658589737798,7.232043504270653e-22
original,dan,10,35,100,30,0.9623338133882002,2.2498506366196533e-17
original,dan,10,36,100,30,0.9810895560845098,1.6319072643639781e-21
original,dan,10,37,100,30,0.9649751898057883,8.26350392399705e-18
original,dan,10,38,100,30,0.9576112630110344,1.142013103976154e-16
original,dan,10,39,100,30,0.9531476894569157,4.512345998451679e-16
original,dan,10,40,100,30,0.9650994208349088,7.868509744476512e-18
original,dan,10,41,100,30,0.9321903027475278,7.008186280872976e-14
original,dan,10,42,100,30,0.9642769708974912,1.0847016317653114e-17
