"language","k","rep","mae_all","err_all","mae_heldout","err_heldout","sd_language"
"ara",1,1,0.0594322463094628,0.0420561817718391,0.0604178366190139,0.0436423924877358,0.352691007025403
"ara",1,2,0.051853486666056,-0.0258216517500526,0.0525533349446464,-0.0275263907410352,0.227142201578516
"ara",1,3,0.051174901589292,0.0171516797192722,0.05240577571605,0.0215308711854025,0.273661140668237
"ara",2,1,0.0738860217040394,0.0653825379931958,0.0744377671992474,0.0661716106173803,0.390287122280232
"ara",2,2,0.0554182699400031,0.0189658531645732,0.055519850183258,0.0190226871112354,0.314835520555492
"ara",2,3,0.0554557513757317,-0.0346055588582702,0.0545870686113441,-0.0306749918163132,0.229383935891514
"ara",5,1,0.0481282060675363,-0.0212176483484284,0.0480534153021502,-0.021975239117663,0.248436654200316
"ara",5,2,0.0385762647154662,0.0118616181791559,0.0404298607878857,0.0155568016354939,0.276253061587766
"ara",5,3,0.0417174094417663,-0.0215022009587449,0.0417146249444577,-0.0195344307014812,0.237782839879703
"ara",10,1,0.0342406374713851,-0.00626769798416205,0.0359365218664018,-0.0111782305704082,0.265126437185605
"ara",10,2,0.0256009173079471,0.0193844949714597,0.0300062313699216,0.0272341295864168,0.290593705068557
"ara",10,3,0.0265779724812924,-0.00834542265429306,0.0261971982729411,-0.00650365551365839,0.243455248819871
"ara",20,1,0.0306330659388567,0.00184857899984603,0.0315119281719739,-0.00170497711893502,0.273183723846977
"ara",20,2,0.0226129793076096,0.016955878608514,0.0255845972334283,0.0207141608236713,0.281961421804741
"ara",20,3,0.0197388667943647,0.0026582025654216,0.0197624991092507,0.0043722276852276,0.263692617646984
"dan",1,1,0.0410533549868876,-0.0171623742348129,0.0411498059026803,-0.0180189368249388,0.243569326551502
"dan",1,2,0.12796394114729,-0.126870941947044,0.127245593542556,-0.12614293734163,0.261986670554016
"dan",1,3,0.0573910131223986,-0.0475058232711398,0.05702736489634,-0.047127172195097,0.233396523224288
"dan",2,1,0.0358276157406567,0.00740335766469546,0.0353946262409418,0.0058595706902399,0.263507957172015
"dan",2,2,0.0793198675055844,-0.0620120286019175,0.0794775932806987,-0.0625728201141931,0.231710966903596
"dan",2,3,0.0978182551649574,-0.0958460201263096,0.0934987183715713,-0.0912157396702135,0.260050691193555
"dan",5,1,0.0446892366287871,-0.0133083720001844,0.0458191043993127,-0.0170167635927559,0.243993566885948
"dan",5,2,0.0447849289906106,-0.0153085031082786,0.0449032707655069,-0.0162075015303668,0.263032222374817
"dan",5,3,0.0794260882053365,-0.0783347396651587,0.0756543837464771,-0.0742677396626992,0.242942686306061
"dan",10,1,0.0327787095420043,0.00182888467040121,0.0337222816264112,-0.00246416446064657,0.270835338398725
"dan",10,2,0.0501960912450456,-0.0261776499933385,0.0504564728022833,-0.0277532490096765,0.249823674743365
"dan",10,3,0.0442005316457997,-0.0420114801331581,0.0352619356831084,-0.0308758448125609,0.232577127509471
"dan",20,1,0.0238460819086779,-0.0108765208685504,0.0261621042641195,-0.0168078757610348,0.243930465614542
"dan",20,2,0.0317410061602173,-0.0159481663520652,0.0307667601206068,-0.0179092776516339,0.247905898594907
"dan",20,3,0.0250699630261474,-0.021176735104339,0.0206687200677592,-0.0138606141765331,0.236481618054816
"deu",1,1,0.0679412854997312,0.0495370213885054,0.0675581741420775,0.0489715300862962,0.241682252873207
"deu",1,2,0.07763502116233,-0.0494600511804955,0.0781141088027661,-0.0509406049587161,0.267883879545349
"deu",1,3,0.0697406540820984,-0.0474944463824418,0.0695606971169621,-0.0474500583108934,0.270174808362554
"deu",2,1,0.0939225558176473,0.0933438494515987,0.092633295592486,0.0918893973408688,0.295473774775652
"deu",2,2,0.0659303892616601,-0.0189309603294873,0.0662752467171772,-0.0202335225490714,0.237959433858531
"deu",2,3,0.0704517086806612,0.00301299187427684,0.0700135026655794,0.00479256045681797,0.231319186451576
"deu",5,1,0.0419000875450637,0.0303654982821749,0.0415648770204794,0.0299367832172627,0.235702907858253
"deu",5,2,0.0666806733577539,-0.0289115891953834,0.0685066358870879,-0.0330077970691266,0.246131290770702
"deu",5,3,0.112981049291228,-0.112981049291228,0.11228139462699,-0.11228139462699,0.385799214422454
"deu",10,1,0.0237600017280955,-0.00444005363852817,0.025119941771197,-0.00895582034329023,0.24652112258844
"deu",10,2,0.0944737975378144,-0.0903165364215952,0.104819162741216,-0.102737832686153,0.355201712636471
"deu",10,3,0.0531486918963799,-0.0504931861042522,0.0566641605157908,-0.0544423311427298,0.304823065698242
"deu",20,1,0.0212145208372694,0.00165835510450962,0.0213640063187638,0.0035083787212461,0.245949335335803
"deu",20,2,0.0382648284964553,-0.03489108420374,0.0412159527258006,-0.0392580641876291,0.279255985160069
"deu",20,3,0.0428448962035573,-0.0372942638250072,0.0426589379616162,-0.036777487328886,0.2934133488309
"eng",1,1,0.064678837063085,-0.0532922447931288,0.0657676231433942,-0.0547651730234977,0.274303343236948
"eng",1,2,0.0477165505357969,0.0091791488430335,0.0477005052591883,0.0080150750253084,0.253546904944601
"eng",1,3,0.0636712265568055,0.0524287572392882,0.0637416920553809,0.0526038154415045,0.291196759787963
"eng",2,1,0.0451976891477642,-0.00944711761686889,0.0452574626430953,-0.00980972284105064,0.251350549831528
"eng",2,2,0.0447873224705047,0.0188336243677844,0.0443244867636748,0.0168137021628987,0.257053167124465
"eng",2,3,0.047707149695147,0.0198817190448423,0.047991888290334,0.0207537630731133,0.253468597349663
"eng",5,1,0.0319946114247661,-0.000366946047921979,0.031895904599027,-0.000577403074883187,0.253956440334221
"eng",5,2,0.0266845420987021,0.0102132173099418,0.029014111646611,0.0122277403830521,0.263502353117555
"eng",5,3,0.0345581681225285,-0.0064312526576844,0.0337593459918906,-0.00527622237268943,0.250354562806971
"eng",10,1,0.0417557418173665,0.0417557418173666,0.0481287154636419,0.0481287154636418,0.288928754938631
"eng",10,2,0.0280616135178954,-0.00524356658876146,0.0296413755054131,-0.00212345930052515,0.252488190008567
"eng",10,3,0.0321247933780181,-0.00327236813822929,0.0317332274266024,-0.00470238827454994,0.254682768464434
"eng",20,1,0.0240043463184211,0.015584895709965,0.0284871207182931,0.0243113654362273,0.259803895132584
"eng",20,2,0.0182134159249841,-0.0056768403288473,0.018980076500834,0.00799638622647403,0.24989907481618
"eng",20,3,0.0228812673880895,0.0104371840345096,0.023138395326377,0.0119045835976185,0.255600228525193
"est",1,1,0.0592531704262587,-0.0398241468902384,0.0602169603381954,-0.0411044254312303,0.285130964011941
"est",1,2,0.0875021874488177,0.0378403284059629,0.0876191098553546,0.0384882913554547,0.24971380774072
"est",1,3,0.064835198990593,0.016005800303413,0.0649087153734204,0.0163001576383763,0.245693233507209
"est",2,1,0.0490990715478911,-0.0123506272552008,0.049110081146026,-0.0127324620785282,0.254120541310976
"est",2,2,0.0689619242480188,0.00594057384040059,0.0689752346371437,0.00655282877390029,0.244376455779305
"est",2,3,0.0633046368357238,0.0212449408923461,0.0638725789407542,0.0231798091093981,0.245106071924174
"est",5,1,0.0415536856732508,-0.00528938566679182,0.0411145958409574,-0.00381383444987682,0.246781769891033
"est",5,2,0.0526720021969592,-0.00343585702162397,0.0525231480487305,0.00101138751476504,0.244410095777954
"est",5,3,0.0437488530098205,0.0215196145531024,0.0445109242210613,0.0247834591301237,0.244907425919823
"est",10,1,0.0310458742179304,-0.0070261379371146,0.0323715626824905,-0.0118947531166236,0.246628180296886
"est",10,2,0.0319499433840746,-0.013421324133697,0.0305142018721947,-0.00983726544790864,0.24946594383514
"est",10,3,0.0362433467570489,0.00763776657997894,0.0357556725612245,0.00637115980762037,0.241604351578126
"est",20,1,0.0228590410450687,0.0109106221554564,0.023357074934927,0.00864854866221165,0.241320190271611
"est",20,2,0.0281155278336084,-0.00537070663981798,0.0262491160289386,0.00307309723198279,0.250923103765704
"est",20,3,0.0187299111870545,0.00646240131849363,0.019008262773544,0.00924424243735034,0.243719568782996
"fra",1,1,0.0611788796002954,-0.0163913852681989,0.0609026911989237,-0.0158801149760079,0.253835791140884
"fra",1,2,0.0721562985594704,0.0697582685065044,0.0713132431548527,0.0687164222849024,0.345592594995512
"fra",1,3,0.0721562985594704,0.0697582685065044,0.0713132431548527,0.0687164222849024,0.345592594995512
"fra",2,1,0.0527419061479397,-0.00782461769668086,0.0522478925620548,-0.00735220238113465,0.256423702956046
"fra",2,2,0.248566442439076,-0.246664454814479,0.248361854351671,-0.246471030931069,0.486533592420816
"fra",2,3,0.0512946479964147,0.0109794232820919,0.0512944071124628,0.009321629353916,0.267989452453118
"fra",5,1,0.0477020678621949,-0.00378202057846955,0.046679826382605,-0.00217205082266536,0.255862086111473
"fra",5,2,0.0574631567645043,-0.0274647285920085,0.0577117757493886,-0.0267185393963166,0.259275201603394
"fra",5,3,0.0467274345497225,0.0151880720291526,0.0466370310142701,0.0132189111834965,0.273731944448124
"fra",10,1,0.0382444700658288,-0.0183163898402209,0.0353857840821627,-0.00901390187469953,0.249038247357761
"fra",10,2,0.0383492410961175,0.00103897802121788,0.0383446257226542,-0.0030133271078322,0.247819438040414
"fra",10,3,0.0471190435970925,0.0372715755547757,0.0456926179925849,0.0337547273844738,0.309918346371182
"fra",20,1,0.0229220509829597,-0.0134587874645586,0.0177678829233419,0.00456694541524183,0.249853948170982
"fra",20,2,0.0192004400969739,-0.00595466961893487,0.0190332372290197,-0.00490048424746992,0.24877964224058
"fra",20,3,0.0299810204583303,0.0207694967211046,0.0370633014932756,0.0314829571710992,0.26265618394253
"hin",1,1,0.078993866897926,0.0229066152512973,0.0791803401284707,0.0257049349540504,0.258156606678556
"hin",1,2,0.0813745205737333,0.0746969972624468,0.0817355004179994,0.0752954610571324,0.334993396993813
"hin",1,3,0.102903114580669,0.102248816741505,0.101706758689779,0.101037938004552,0.347397302078745
"hin",2,1,0.0681056306874761,-0.027436852160045,0.0675259889642639,-0.0261987520914149,0.250068868641834
"hin",2,2,0.04046608581822,-0.012100352616104,0.0403975163837105,-0.0123375754993753,0.250158944488247
"hin",2,3,0.056620089908827,0.0525236426939231,0.0541560115393011,0.0492120383045732,0.281835050049553
"hin",5,1,0.051001106155697,-0.00940670086835071,0.0514764413426298,-0.0121227877809492,0.249389605979327
"hin",5,2,0.0334903650389879,-0.00879967499470435,0.034443573832494,-0.0126330386013064,0.24947227575606
"hin",5,3,0.0308531652039355,0.0141007990518964,0.0302365719334101,0.011304622215332,0.259022394178104
"hin",10,1,0.0334512053973793,0.0114388146269223,0.0328228261124527,0.00397145354086614,0.252605386277197
"hin",10,2,0.0293604484251601,-0.00612141412447564,0.028849871113755,-0.00603041462405984,0.249441620010464
"hin",10,3,0.0327322804065982,0.0177868927307248,0.0315543925084727,0.0141758221146577,0.264750194626498
"hin",20,1,0.0221501248043884,0.00530991295922789,0.021166509909135,-0.00228100005559262,0.251213985726149
"hin",20,2,0.0220589268489843,-0.0107301563300334,0.0212481565527603,-0.00430291212770384,0.250279834377964
