split,language,subset_size,n_repeats,n_items_full,n_models,mean_pearson_r,median_p_value
original,dan,10,200,100,30,0.961627229514015,1.07753796891232e-17
original,dan,25,200,100,30,0.986890197785237,5.7051405760583186e-24
original,dan,50,200,100,30,0.9957334008314551,9.885117397533689e-31
original,dan,75,200,100,30,0.9985747352846311,1.8302939737853545e-37
original,dan,100,200,100,30,0.9999999999999999,0.0
original,deu,10,200,100,30,0.9473013811919238,6.222990550595316e-16
original,deu,25,200,100,30,0.9823862402507495,3.171516470613228e-22
original,deu,50,200,100,30,0.9938688998214079,2.0255417180886737e-28
original,deu,75,200,100,30,0.9979221608146411,5.078485515797385e-35
original,deu,100,200,100,30,0.9999999999999996,2.841104936914004e-212
original,eng,10,200,100,30,0.9479866482321171,8.811496902373337e-16
original,eng,25,200,100,30,0.9808583999502893,7.346121880248087e-22
original,eng,50,200,100,30,0.99364620883024,1.851481625199425e-28
original,eng,75,200,100,30,0.9979032001787408,4.177428117158102e-35
original,eng,100,200,100,30,0.9999999999999997,1.734072837471929e-216
original,isl,10,200,100,30,0.9697712247054261,5.628505473583752e-19
original,isl,25,200,100,30,0.989924194763859,8.926825337316033e-26
original,isl,50,200,100,30,0.9965438302464582,3.86840956901174e-32
original,isl,75,200,100,30,0.998872493935201,7.144480765765738e-39
original,isl,100,200,100,30,0.9999999999999999,0.0
original,nob,10,200,100,30,0.9656949244760336,3.975559814612712e-18
original,nob,25,200,100,30,0.9881710255960645,9.782537821503237e-25
original,nob,50,200,100,30,0.9960724589529675,2.397205478906852e-31
original,nob,75,200,100,30,0.9986678290378818,8.584463535483125e-38
original,nob,100,200,100,30,1.0,0.0
original,rus,10,200,100,29,0.9604831789325731,7.860697650227782e-17
original,rus,25,200,100,29,0.9874651421959802,1.9246197556497284e-23
original,rus,50,200,100,29,0.9958613840531011,4.535479149210885e-30
original,rus,75,200,100,29,0.9985863712033216,3.393503892765952e-36
original,rus,100,200,100,29,0.9999999999999996,9.704893611509605e-205
original,zho,10,200,100,29,0.9640925201829389,1.6286303995097902e-17
original,zho,25,200,100,29,0.9879029722431457,1.589116842656568e-23
original,zho,50,200,100,29,0.9960237508977225,3.1230462571087315e-30
original,zho,75,200,100,29,0.9986272738298733,3.564942692283287e-36
original,zho,100,200,100,29,0.9999999999999999,0.0
synthetic,dan,10,200,100,30,0.9888949184730212,1.3037157343649772e-25
synthetic,dan,25,200,100,30,0.996256802968608,5.979222946512272e-32
synthetic,dan,50,200,100,30,0.9987185918163152,3.683442887378419e-38
synthetic,dan,75,200,100,30,0.9995764424637197,2.6708674762163265e-45
synthetic,dan,100,200,100,30,0.9999999999999996,2.841104936914004e-212
synthetic,deu,10,200,100,30,0.9827139526720985,5.705724379228817e-23
synthetic,deu,25,200,100,30,0.9946794010445901,1.0819128845662854e-29
synthetic,deu,50,200,100,30,0.9982016730593759,1.3337105470724473e-36
synthetic,deu,75,200,100,30,0.9993982282276348,4.4882626493645375e-43
synthetic,deu,100,200,100,30,1.0,0.0
synthetic,eng,10,200,100,30,0.9806213096125479,6.136883831394814e-22
synthetic,eng,25,200,100,30,0.9941512359995558,5.0406252870877983e-29
synthetic,eng,50,200,100,30,0.9979615866017832,8.33339341220941e-36
synthetic,eng,75,200,100,30,0.9993104599334379,2.016998804807227e-42
synthetic,eng,100,200,100,30,0.9999999999999999,0.0
synthetic,isl,10,200,100,29,0.9878347445786375,2.9557286940332753e-24
synthetic,isl,25,200,100,29,0.9958080827810784,1.637324832010583e-30
synthetic,isl,50,200,100,29,0.9985782682146663,1.1800416889157608e-36
synthetic,isl,75,200,100,29,0.9995372445312577,5.6420595441050366e-43
synthetic,isl,100,200,100,29,0.9999999999999999,0.0
synthetic,nob,10,200,100,30,0.9890883840612597,2.0098196366590898e-25
synthetic,nob,25,200,100,30,0.9963779910561071,4.834568144969835e-32
synthetic,nob,50,200,100,30,0.9987847421690212,1.2857899531126795e-38
synthetic,nob,75,200,100,30,0.9995777273389825,1.6991612206779385e-45
synthetic,nob,100,200,100,30,1.0,0.0
synthetic,rus,10,200,100,29,0.9885802715483623,1.2418881376199015e-24
synthetic,rus,25,200,100,29,0.995924507882412,2.361114694118546e-30
synthetic,rus,50,200,100,29,0.9986083148072759,4.299392628258982e-37
synthetic,rus,75,200,100,29,0.9995549782513489,1.326103428126783e-43
synthetic,rus,100,200,100,29,1.0,0.0
synthetic,zho,10,200,100,28,0.9885282278077804,1.0519500971214841e-23
synthetic,zho,25,200,100,28,0.9964406832123508,5.385256322075502e-30
synthetic,zho,50,200,100,28,0.9987800715855051,5.6233040230448194e-36
synthetic,zho,75,200,100,28,0.9995965377206365,2.6570710365170148e-42
synthetic,zho,100,200,100,28,0.9999999999999999,0.0
