model_raw,model,family,params_b,reasoning,avg_generation_seconds,english_accuracy,non_english_accuracy,absolute_transfer_gap,relative_transfer_gap,n_transfer_languages
vllm/Qwen/Qwen3-0.6B,Qwen3-0.6B (reasoning off),Qwen3,0.6,off,3.2111777543584576,0.571,0.24516666666666667,0.3258333333333333,0.5706363105662581,6
vllm/Qwen/Qwen3-4B,Qwen3-4B (reasoning off),Qwen3,4.0,off,5.06428358653551,0.926,0.7899166666666666,0.13608333333333344,0.14695824334053287,6
vllm/Qwen/Qwen3-14B,Qwen3-14B (reasoning off),Qwen3,14.0,off,5.426942632530623,0.9555,0.8728333333333333,0.08266666666666667,0.08651665794522938,6
vllm/Qwen/Qwen3-8B,Qwen3-8B (reasoning off),Qwen3,8.0,off,5.437349456724103,0.939,0.8253333333333334,0.11366666666666658,0.1210507632232871,6
vllm/Qwen/Qwen3-1.7B,Qwen3-1.7B (reasoning off),Qwen3,1.7,off,7.379155250594758,0.801,0.5753333333333334,0.22566666666666668,0.2817311693716188,6
vllm/Qwen/Qwen3-32B,Qwen3-32B (reasoning off),Qwen3,32.0,off,8.496145907159582,0.961,0.8850833333333332,0.07591666666666674,0.07899757197363866,6
vllm/Qwen/Qwen3.5-9B,Qwen3.5-9B (reasoning off),Qwen3.5,9.0,off,14.104020993479772,0.9575,0.8823333333333334,0.0751666666666666,0.07850304612706695,6
vllm/Qwen/Qwen3-14B,Qwen3-14B,Qwen3,14.0,on,28.620284442493197,0.9635,0.89725,0.06625000000000003,0.06875973015049303,6
vllm/Qwen/Qwen3-0.6B,Qwen3-0.6B,Qwen3,0.6,on,29.6309621182386,0.774,0.47033333333333327,0.30366666666666675,0.39233419465977615,6
vllm/Qwen/Qwen3-1.7B,Qwen3-1.7B,Qwen3,1.7,on,33.463636091535506,0.9,0.7317499999999999,0.16825000000000012,0.18694444444444458,6
vllm/Qwen/Qwen3-4B,Qwen3-4B,Qwen3,4.0,on,36.01378686992696,0.9465,0.8543333333333333,0.09216666666666673,0.09737629864412756,6
vllm/Qwen/Qwen3-8B,Qwen3-8B,Qwen3,8.0,on,36.14427000921495,0.954,0.8765833333333334,0.07741666666666658,0.08114954577218719,6
vllm/Qwen/Qwen3-32B,Qwen3-32B,Qwen3,32.0,on,45.733857846531805,0.9665,0.91025,0.05625000000000002,0.05819968960165548,6
vllm/Qwen/Qwen3.5-9B,Qwen3.5-9B,Qwen3.5,9.0,on,84.0034642645789,0.9775,0.9268333333333333,0.05066666666666675,0.05183290707587391,6
