family,english_share,n_languages,coverage_source,notes
OLMo 2,0.90,1,"Dolma 1.7 (OLMo 2 report)","English-centric; no targeted multilingual mixture"
OLMo 3,0.90,1,"OLMo 3 report","English-centric; improved multilingual data over OLMo 2"
EuroLLM,0.50,35,"EuroLLM-9B report Fig. 4; model card language list","50% English phase 1, 32.5% phases 2-3; 24 EU official + 11 additional"
Apertus,0.60,1811,"Apertus tech report Table G.6 (FineWeb-2)","~40% non-English; high-resource languages subsampled to 10-33%"
Gemma 3,NA,140,"Gemma 3 report","multilingual, per-language shares not published"
Granite,NA,12,"Granite 3 report","per-language shares not published"
Qwen2.5,NA,29,"Qwen2.5 report","per-language shares not published"
Qwen3,NA,119,"Qwen3 report","per-language shares not published"
Qwen3.5,NA,119,"Qwen3.5 report","per-language shares not published"
