language,documents,pct_fineweb2
rus,605468615,13.26
zho,578332129,12.66
deu,427700394,9.36
jpn,376134745,8.23
fra,332646715,7.28
ita,219117921,4.80
nld,133855612,2.93
ara,57752149,1.26
ukr,47552562,1.04
dan,42975661,0.94
hin,20587135,0.45
est,9629380,0.21
