language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_kde_mode,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.7439285714285715,0.6945116071428572,0.6949459633552819,-4.941696428571429,14,1400,2000
deu,German,0.5767543859649124,0.5152971867167919,0.515506928644256,-6.1457199248120435,14,1357,2000
dan,Danish,0.48732142857142857,0.4499541071428572,0.4506527340395076,-3.7367321428571354,14,1400,2000
nob,Norwegian Bokmal,0.49315169366715755,0.4553155375552283,0.45542469327462,-3.7836156111929253,14,1397,2000
isl,Icelandic,0.3575524475524476,0.3100866783216783,0.31047283377944696,-4.746576923076928,13,1288,2000
