language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.73,0.6387200000000001,0.03671151682692868,-9.127999999999991,1,100,2000
deu,German,0.47,0.41532500000000006,0.03992607444653626,-5.467499999999992,1,100,2000
dan,Danish,0.22,0.11637000000000002,0.0298122036042603,-10.362999999999998,1,100,2000
nob,Norwegian Bokmal,0.08,0.050135000000000006,0.020411763643730634,-2.9864999999999995,1,100,2000
