language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.58,0.61112,0.03735697219644338,3.1120000000000037,1,100,2000
eng,English,0.7,0.6783250000000001,0.038893453502648494,-2.167499999999989,1,100,2000
rus,Russian,0.51,0.44540500000000005,0.038151851290316695,-6.459499999999996,1,100,2000
deu,German,0.42,0.3808,0.036590017965387134,-3.9199999999999955,1,100,2000
dan,Danish,0.27,0.23716500000000001,0.03394243390521229,-3.2835,1,100,2000
nob,Norwegian Bokmal,0.3,0.2654,0.03378773158119233,-3.4599999999999964,1,100,2000
isl,Icelandic,0.08,0.03746000000000001,0.01784397948334118,-4.254,1,100,2000
