language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.95,0.9565750000000001,0.014492218159881417,0.6575000000000109,1,100,2000
eng,English,0.99,0.96643,0.012982271360776688,-2.356999999999998,1,100,2000
rus,Russian,0.95,0.915585,0.014905329900063088,-3.4414999999999973,1,100,2000
deu,German,0.92,0.9037500000000002,0.016753442599043936,-1.6249999999999876,1,100,2000
dan,Danish,0.95,0.92528,0.01573993242477132,-2.4719999999999964,1,100,2000
nob,Norwegian Bokmal,0.96,0.9281099999999999,0.015425526682636076,-3.1890000000000085,1,100,2000
isl,Icelandic,0.89,0.8342249999999999,0.024316558607485047,-5.577500000000013,1,100,2000
