language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.7,0.5888150000000001,0.03947815899353412,-11.118499999999987,1,100,2000
rus,Russian,0.01,0.004025,0.006226456406310883,-0.5975,1,100,2000
deu,German,0.15,0.13457999999999998,0.028845096980421214,-1.5420000000000016,1,100,2000
dan,Danish,0.07,0.05663000000000001,0.01923351408432729,-1.337,1,100,2000
nob,Norwegian Bokmal,0.06,0.049720000000000014,0.018272617335021717,-1.0279999999999982,1,100,2000
