language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.89,0.8831500000000001,0.017959364392558352,-0.6849999999999912,1,100,2000
eng,English,0.95,0.9458949999999999,0.013885077338147693,-0.41050000000000253,1,100,2000
rus,Russian,0.9,0.8779950000000001,0.019018696864275646,-2.200499999999994,1,100,2000
deu,German,0.88,0.87397,0.01752405907097902,-0.602999999999998,1,100,2000
dan,Danish,0.92,0.90119,0.018056769463603704,-1.8809999999999993,1,100,2000
nob,Norwegian Bokmal,0.9,0.9007350000000002,0.01718887732668647,0.07350000000001522,1,100,2000
isl,Icelandic,0.76,0.689145,0.03308271766502944,-7.0855,1,100,2000
