language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.97,0.964705,0.015659999769999947,-0.5294999999999939,1,100,2000
deu,German,0.9,0.8704700000000001,0.020383494386922756,-2.9529999999999945,1,100,2000
dan,Danish,0.92,0.9044850000000001,0.020679666324669024,-1.5514999999999946,1,100,2000
nob,Norwegian Bokmal,0.91,0.906175,0.021266064463103522,-0.38250000000000783,1,100,2000
isl,Icelandic,0.82,0.77317,0.030197798819231243,-4.682999999999993,1,100,2000
