language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.92,0.8486099999999999,0.02691338078043181,-7.139000000000017,1,100,2000
eng,English,0.96,0.91848,0.022325743423449625,-4.152,1,100,2000
rus,Russian,0.88,0.7836500000000001,0.03147018726260096,-9.634999999999994,1,100,2000
deu,German,0.84,0.80389,0.027758839611703754,-3.6109999999999975,1,100,2000
dan,Danish,0.81,0.79598,0.028763749349455792,-1.4020000000000032,1,100,2000
nob,Norwegian Bokmal,0.85,0.8211900000000001,0.029683740704822135,-2.880999999999989,1,100,2000
isl,Icelandic,0.48,0.38631,0.03645748858927502,-9.369,1,100,2000
