language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.23,0.1772,0.03473705991683569,-5.280000000000001,1,100,2000
eng,English,0.63,0.552865,0.03885867693819094,-7.713499999999995,1,100,2000
rus,Russian,0.3,0.28418,0.03792290433678133,-1.582,1,100,2000
deu,German,0.4,0.32922,0.03866702949005512,-7.078000000000001,1,100,2000
dan,Danish,0.18,0.174185,0.03405019064177719,-0.5814999999999987,1,100,2000
nob,Norwegian Bokmal,0.15,0.189595,0.03373803643591719,3.959500000000002,1,100,2000
isl,Icelandic,0.03,0.019185,0.012898409184071494,-1.0815,1,100,2000
