language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.95,0.932925,0.016698317037831895,-1.7074999999999951,1,100,2000
eng,English,0.97,0.9682650000000002,0.01280319240923662,-0.173499999999982,1,100,2000
rus,Russian,0.92,0.86339,0.020095019405376342,-5.661000000000005,1,100,2000
deu,German,0.91,0.8927350000000002,0.018144817226858432,-1.7264999999999864,1,100,2000
dan,Danish,0.9,0.91314,0.0192204347650171,1.313999999999993,1,100,2000
nob,Norwegian Bokmal,0.96,0.920825,0.01956682921177319,-3.917499999999996,1,100,2000
isl,Icelandic,0.84,0.80625,0.028499888101726024,-3.3749999999999947,1,100,2000
