language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.93,0.8982600000000001,0.022143115381070257,-3.173999999999999,1,100,2000
eng,English,0.95,0.9526649999999999,0.015177712491618717,0.26649999999999174,1,100,2000
rus,Russian,0.91,0.8585849999999999,0.02343762863896665,-5.1415000000000095,1,100,2000
deu,German,0.94,0.857165,0.022595753119325664,-8.2835,1,100,2000
dan,Danish,0.88,0.86913,0.02547287839579352,-1.0870000000000046,1,100,2000
nob,Norwegian Bokmal,0.9,0.87301,0.024872660183669678,-2.699000000000007,1,100,2000
isl,Icelandic,0.77,0.638025,0.03498658894066199,-13.197500000000007,1,100,2000
