language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.81,0.711025,0.0351057770572223,-9.897500000000004,1,100,2000
eng,English,0.85,0.82326,0.029223268121478966,-2.6739999999999986,1,100,2000
rus,Russian,0.72,0.65082,0.03720644782668644,-6.918000000000002,1,100,2000
deu,German,0.68,0.6425299999999999,0.03579440905867745,-3.7470000000000114,1,100,2000
dan,Danish,0.56,0.538065,0.03758073882942541,-2.193500000000004,1,100,2000
nob,Norwegian Bokmal,0.66,0.5875199999999999,0.03596660114883111,-7.24800000000001,1,100,2000
isl,Icelandic,0.25,0.16468,0.029151715408456288,-8.532,1,100,2000
