language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.925,0.8424400000000001,0.027631787090756803,-8.255999999999997,1,100,2000
deu,German,0.8245614035087719,0.6564912280701755,0.03908022637763733,-16.807017543859647,1,57,2000
dan,Danish,0.8325,0.7019725,0.024185645876908923,-13.052750000000001,1,100,2000
nob,Norwegian Bokmal,0.8041237113402062,0.7095103092783505,0.028294715715258087,-9.461340206185575,1,97,2000
isl,Icelandic,0.8181818181818182,0.6589431818181818,0.03033983484138179,-15.923863636363645,1,88,2000
