language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.12,0.08863500000000002,0.024588392983982656,-3.1364999999999976,1,100,2000
eng,English,0.66,0.49186,0.03498217083226925,-16.814,1,100,2000
rus,Russian,0.12,0.10436500000000003,0.025994896466829034,-1.5634999999999968,1,100,2000
deu,German,0.12,0.11194000000000003,0.02669443193529643,-0.8059999999999969,1,100,2000
dan,Danish,0.06,0.019270000000000002,0.013105455981698773,-4.0729999999999995,1,100,2000
nob,Norwegian Bokmal,0.05,0.02539,0.015220503666631172,-2.4610000000000003,1,100,2000
isl,Icelandic,0.01,0.005105,0.006775834337222445,-0.4895,1,100,2000
