language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
eng,English,0.76,0.6817799999999999,0.03766484993279847,-7.822000000000006,1,100,2000
deu,German,0.54,0.424245,0.03664152392624819,-11.575500000000005,1,100,2000
dan,Danish,0.28,0.197585,0.032031715383275955,-8.241500000000002,1,100,2000
nob,Norwegian Bokmal,0.35,0.228465,0.034410548061734714,-12.153499999999998,1,100,2000
isl,Icelandic,0.02,0.015780000000000002,0.011737141059053524,-0.4219999999999998,1,100,2000
