language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.65,0.48101499999999997,0.039982734830702506,-16.898500000000006,1,100,2000
eng,English,0.9,0.8333,0.027511605627845687,-6.669999999999998,1,100,2000
rus,Russian,0.7,0.5977349999999999,0.03965357459282825,-10.226500000000005,1,100,2000
deu,German,0.71,0.6196649999999999,0.03372100722345172,-9.033500000000005,1,100,2000
dan,Danish,0.55,0.49545500000000003,0.03619043863956974,-5.454500000000001,1,100,2000
nob,Norwegian Bokmal,0.57,0.517835,0.035662286442924115,-5.216499999999991,1,100,2000
isl,Icelandic,0.2,0.17117000000000002,0.029508752654790762,-2.8829999999999996,1,100,2000
