language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.78,0.708065,0.036158809504080416,-7.193499999999997,1,100,2000
eng,English,0.94,0.90241,0.025772543762810903,-3.75899999999999,1,100,2000
eng_metric,English metric,0.94,0.8921699999999999,0.02640150790788105,-4.783000000000004,1,100,2000
rus,Russian,0.68,0.5324549999999999,0.040785471706861205,-14.754500000000014,1,100,2000
deu,German,0.77,0.720635,0.03293158088385304,-4.936499999999999,1,100,2000
dan,Danish,0.82,0.72373,0.034055351759917946,-9.626999999999997,1,100,2000
nob,Norwegian Bokmal,0.82,0.7178899999999999,0.033077106092790784,-10.211000000000004,1,100,2000
isl,Icelandic,0.57,0.50136,0.036536527734986876,-6.863999999999992,1,100,2000
