language,language_label,original_accuracy,synthetic_sampled_mean,synthetic_sampled_std,synthetic_minus_original_pp,paired_models,source_templates,sampled_sets
zho,Chinese,0.58,0.610225,0.03693753600042769,3.0225000000000057,1,100,2000
eng,English,0.7,0.679295,0.03946684419731893,-2.0704999999999973,1,100,2000
rus,Russian,0.51,0.446135,0.03866211523671834,-6.386500000000001,1,100,2000
deu,German,0.42,0.37961500000000004,0.037836722688307664,-4.038499999999995,1,100,2000
dan,Danish,0.27,0.238075,0.03375372619454048,-3.192500000000001,1,100,2000
nob,Norwegian Bokmal,0.3,0.26514499999999996,0.03355953062913759,-3.4855000000000027,1,100,2000
isl,Icelandic,0.08,0.03814000000000001,0.01773126049663136,-4.185999999999999,1,100,2000
