model_raw,model,family,params_b,reasoning,avg_total_tokens,inference_flops,english_accuracy,non_english_accuracy,absolute_transfer_gap,transfer_gap_ci95,relative_transfer_gap,relative_transfer_gap_ci95,performance_recovered,performance_recovered_ci95,n_transfer_languages
Qwen3-0.6B,Qwen3-0.6B (reasoning off),Qwen3,0.6,off,414.55305555555555,497463666666.6666,0.57,0.206078125,0.36392187499999995,0.01918828125000005,0.6384594298245614,0.014318819716972908,0.3615405701754386,0.014318819716972908,16
Qwen3-1.7B,Qwen3-1.7B (reasoning off),Qwen3,1.7,off,582.385625,1980111125000.0,0.831,0.5507968750000001,0.2802031249999999,0.015593750000000073,0.33718787605294814,0.014696282946019379,0.6628121239470519,0.014696282946019379,16
Qwen3-0.6B,Qwen3-0.6B,Qwen3,0.6,on,2184.4470555555554,2621336466666.6665,0.773,0.43004687499999994,0.3429531250000001,0.01628203124999994,0.44366510349288496,0.013762675614675035,0.5563348965071151,0.013762675614675035,16
granite-3.2-2b-instruct,granite-3.2-2b-instruct (reasoning off),Granite,2.0,off,813.6495555555555,3254598222222.2217,0.621,0.197375,0.42362500000000003,0.019781250000000028,0.6821658615136876,0.012202293617043503,0.31783413848631237,0.012202293617043503,16
Qwen3.5-0.8B,Qwen3.5-0.8B,Qwen3.5,0.8,on,2487.9402638888887,3980704422222.2217,0.014,0.0019062500000000002,0.01209375,0.005499999999999998,0.8638392857142857,0.08148251488095226,0.1361607142857143,0.08148251488095226,16
Qwen3.5-0.8B,Qwen3.5-0.8B (reasoning off),Qwen3.5,0.8,off,2541.6306805555555,4066609088888.8887,0.4475,0.07784374999999999,0.36965625,0.020718750000000008,0.8260474860335196,0.01074012973428029,0.17395251396648043,0.01074012973428029,16
granite-3.2-2b-instruct,granite-3.2-2b-instruct (reasoning on),Granite,2.0,on,1019.8011388888889,4079204555555.5557,0.6015,0.224734375,0.37676562500000005,0.019093749999999965,0.6263767664172901,0.013889527539071245,0.3736232335827098,0.013889527539071245,16
Qwen3-4B,Qwen3-4B (reasoning off),Qwen3,4.0,off,555.7543194444445,4446034555555.556,0.9285,0.796828125,0.131671875,0.010187500000000127,0.14181138933764134,0.009799452608305892,0.8581886106623586,0.009799452608305892,16
Qwen3.5-4B,Qwen3.5-4B (reasoning off),Qwen3.5,4.0,off,1042.558486111111,8340467888888.889,0.9365,0.772921875,0.16357812500000002,0.010093749999999901,0.17466964762413242,0.009427609403460296,0.8253303523758676,0.009427609403460296,16
Qwen3-1.7B,Qwen3-1.7B,Qwen3,1.7,on,2550.118875,8670404175000.0,0.9035,0.741671875,0.161828125,0.010749999999999926,0.17911247924737134,0.010405556387443088,0.8208875207526287,0.010405556387443088,16
Qwen3-8B,Qwen3-8B (reasoning off),Qwen3,8.0,off,571.8769583333333,9150031333333.332,0.943,0.8489843749999999,0.09401562500000005,0.0089999999999998,0.09969843584305414,0.008936668101862055,0.9003015641569458,0.008936668101862055,16
granite-3.2-8b-instruct,granite-3.2-8b-instruct (reasoning off),Granite,8.0,off,723.0039305555556,11568062888888.889,0.826,0.40184375,0.42415624999999996,0.016031250000000052,0.5135063559322034,0.012141412716002886,0.48649364406779666,0.012141412716002886,16
granite-3.2-8b-instruct,granite-3.2-8b-instruct (reasoning on),Granite,8.0,on,863.6090833333333,13817745333333.332,0.8205,0.528453125,0.29204687500000004,0.015594531250000043,0.35593769043266305,0.01386371298553285,0.6440623095673369,0.01386371298553285,16
Qwen3-14B,Qwen3-14B (reasoning off),Qwen3,14.0,off,547.770763888889,15337581388888.89,0.9645,0.8906562499999999,0.0738437500000001,0.007500000000000173,0.07656168999481607,0.007487769259047566,0.923438310005184,0.007487769259047566,16
Qwen3.5-9B,Qwen3.5-9B (reasoning off),Qwen3.5,9.0,off,938.9500277777778,16901100500000.0,0.9525,0.8579218750000001,0.09457812499999996,0.008375781250000117,0.09929461942257213,0.008241586700116599,0.9007053805774279,0.008241586700116599,16
Qwen3-4B,Qwen3-4B,Qwen3,4.0,on,2208.147476851852,17665179814814.816,0.9475,0.873578125,0.07392187500000003,0.009032031250000142,0.07801781002638525,0.009067254172475503,0.9219821899736147,0.009067254172475503,16
Qwen3-32B,Qwen3-32B (reasoning off),Qwen3,32.0,off,531.917375,34042712000000.0,0.961,0.909546875,0.05145312499999999,0.0075624999999999165,0.05354123309053069,0.007519569190168947,0.9464587669094693,0.007519569190168947,16
Qwen3.5-27B,Qwen3.5-27B (reasoning off),Qwen3.5,27.0,off,644.2779722222223,34791010500000.004,0.9785,0.93959375,0.03890625000000003,0.005781249999999849,0.039761113949923384,0.005727258336942792,0.9602388860500766,0.005727258336942792,16
Qwen3-8B,Qwen3-8B,Qwen3,8.0,on,2238.205361111111,35811285777777.77,0.9555,0.896609375,0.058890624999999974,0.007250000000000201,0.06163330716902143,0.007369305198774767,0.9383666928309786,0.007369305198774767,16
Qwen3.5-4B,Qwen3.5-4B,Qwen3.5,4.0,on,4919.344625000001,39354757000000.01,0.9745,0.8992031250000001,0.07529687499999993,0.006906250000000114,0.0772671883016931,0.006827030914408644,0.9227328116983069,0.006827030914408644,16
Qwen3-14B,Qwen3-14B,Qwen3,14.0,on,1802.6045277777778,50472926777777.78,0.9625,0.916546875,0.04595312500000004,0.006687499999999846,0.04774350649350653,0.006762627961650058,0.9522564935064934,0.006762627961650058,16
Qwen3.5-9B,Qwen3.5-9B,Qwen3.5,9.0,on,4501.398930555555,81025180750000.0,0.9795,0.9174218749999999,0.062078125000000095,0.006562499999999805,0.06337736089841765,0.006429493656085784,0.9366226391015824,0.006429493656085784,16
Qwen3-32B,Qwen3-32B,Qwen3,32.0,on,1641.4114722222223,105050334222222.23,0.9745,0.931921875,0.04257812500000002,0.006375781250000108,0.04369227809132891,0.006360391035174447,0.9563077219086711,0.006360391035174447,16
Qwen3.5-27B,Qwen3.5-27B,Qwen3.5,27.0,on,3215.282736111111,173625267749999.97,0.98,0.950734375,0.029265624999999962,0.004968749999999862,0.029862882653061185,0.004981219773404766,0.9701371173469389,0.004981219773404766,16
